,mloglik,tc,mass1,mass2,distance,ra,dec,polarization,inclination,spin1z,spin2z
0,-179203.2272415821,3.1,38.599999999999994,29.299999999999997,1000.0,1.37,-1.26,2.76,0.0,0.0,0.0
1,154845.83083560987,3.2550000000000003,38.599999999999994,29.299999999999997,1000.0,1.37,-1.26,2.76,0.0,0.0,0.0
2,272938.2230199751,3.1,40.53,30.765,1000.0,1.37,-1.26,2.76,0.0,0.0,0.0
3,-150512.872508566,3.1,39.58197661212835,28.61465370676932,1000.0,1.37,-1.26,2.76,0.0,0.0,0.0
4,-178796.87071722472,3.1,38.599999999999994,29.299999999999997,1050.0,1.37,-1.26,2.76,0.0,0.0,0.0
5,-176176.61769083972,3.1,38.599999999999994,29.299999999999997,1000.0,1.4385000000000001,-1.26,2.76,0.0,0.0,0.0
6,-170424.04563672026,3.1,38.599999999999994,29.299999999999997,1000.0,1.37,-1.3230000000000002,2.76,0.0,0.0,0.0
7,-165638.67891723855,3.1,38.599999999999994,29.299999999999997,1000.0,1.37,-1.26,2.8979999999999997,0.0,0.0,0.0
8,-179203.22724158195,3.1,38.599999999999994,29.299999999999997,1000.0,1.37,-1.26,2.76,0.00025,0.0,0.0
9,-179182.82867732557,3.1,38.599999999999994,29.299999999999997,1000.0,1.37,-1.26,2.76,0.0,0.00025,0.0
10,-179194.30502799706,3.1,38.599999999999994,29.299999999999997,1000.0,1.37,-1.26,2.76,0.0,0.0,0.00025
11,162645.5259844307,3.1310000000000007,36.858006251385945,27.700702384589537,1010.0,1.3837000000000006,-1.2725999999999995,2.7876000000000003,5e-05,5e-05,5e-05
12,165698.01683721403,3.1232500000000005,37.77978557062731,28.463922581143496,1007.5,1.3802750000000006,-1.2694499999999995,2.7807000000000004,3.7500000000000003e-05,3.7500000000000003e-05,3.7500000000000003e-05
13,-179203.22724158206,3.1,38.599999999999994,29.299999999999997,1000.0,1.37,-1.26,2.76,0.000125,0.0,0.0
