mloglik,tc,mass1,mass2,distance,ra,dec,polarization,inclination,spin1z,spin2z,chirp,q
-140762.60510048558,3.1,38.599999999999994,29.299999999999997,1000.0,1.37,-1.26,2.76,0.0,0.0,0.0,29.221264150605403,1.31740614334471
-140762.6051029399,3.10000001,38.599999999999994,29.299999999999997,1000.0,1.37,-1.26,2.76,0.0,0.0,0.0,29.221264150605403,1.31740614334471
-140762.60510108413,3.1,38.60000001320955,29.300000010026945,1000.0,1.37,-1.26,2.76,0.0,0.0,0.0,29.221264160605404,1.31740614334471
-140762.6051006327,3.1,38.600000150513104,29.299999891842855,1000.0,1.37,-1.26,2.76,0.0,0.0,0.0,29.221264150605403,1.31740615334471
-140762.60510048558,3.1,38.599999999999994,29.299999999999997,1000.00000001,1.37,-1.26,2.76,0.0,0.0,0.0,29.221264150605403,1.31740614334471
-140762.6051004405,3.1,38.599999999999994,29.299999999999997,1000.0,1.37000001,-1.26,2.76,0.0,0.0,0.0,29.221264150605403,1.31740614334471
-140762.6051005084,3.1,38.599999999999994,29.299999999999997,1000.0,1.37,-1.25999999,2.76,0.0,0.0,0.0,29.221264150605403,1.31740614334471
-140762.6051004402,3.1,38.599999999999994,29.299999999999997,1000.0,1.37,-1.26,2.7600000099999997,0.0,0.0,0.0,29.221264150605403,1.31740614334471
-140762.60510048558,3.1,38.599999999999994,29.299999999999997,1000.0,1.37,-1.26,2.76,1e-08,0.0,0.0,29.221264150605403,1.31740614334471
-140762.6050995182,3.1,38.599999999999994,29.299999999999997,1000.0,1.37,-1.26,2.76,0.0,1e-08,0.0,29.221264150605403,1.31740614334471
-140762.60509984236,3.1,38.599999999999994,29.299999999999997,1000.0,1.37,-1.26,2.76,0.0,0.0,1e-08,29.221264150605403,1.31740614334471
38492.55923368094,10.0,476.3962382463022,29.72016795990597,1000.0,0.0,1.0217403216751333,0.0,0.0,-1.0,-1.0,89.07619691550461,16.02939252863527
-140762.60510048558,3.1,38.599999999999994,29.299999999999997,1000.0,1.37,-1.26,2.76,0.0,0.0,0.0,29.221264150605403,1.31740614334471
-140762.6051029399,3.10000001,38.599999999999994,29.299999999999997,1000.0,1.37,-1.26,2.76,0.0,0.0,0.0,29.221264150605403,1.31740614334471
-140762.60510108413,3.1,38.60000001320955,29.300000010026945,1000.0,1.37,-1.26,2.76,0.0,0.0,0.0,29.221264160605404,1.31740614334471
-140762.6051006327,3.1,38.600000150513104,29.299999891842855,1000.0,1.37,-1.26,2.76,0.0,0.0,0.0,29.221264150605403,1.31740615334471
-140762.60510048558,3.1,38.599999999999994,29.299999999999997,1000.00000001,1.37,-1.26,2.76,0.0,0.0,0.0,29.221264150605403,1.31740614334471
-140762.6051004405,3.1,38.599999999999994,29.299999999999997,1000.0,1.37000001,-1.26,2.76,0.0,0.0,0.0,29.221264150605403,1.31740614334471
-140762.6051005084,3.1,38.599999999999994,29.299999999999997,1000.0,1.37,-1.25999999,2.76,0.0,0.0,0.0,29.221264150605403,1.31740614334471
-140762.6051004402,3.1,38.599999999999994,29.299999999999997,1000.0,1.37,-1.26,2.7600000099999997,0.0,0.0,0.0,29.221264150605403,1.31740614334471
-140762.60510048558,3.1,38.599999999999994,29.299999999999997,1000.0,1.37,-1.26,2.76,1e-08,0.0,0.0,29.221264150605403,1.31740614334471
-140762.6050995182,3.1,38.599999999999994,29.299999999999997,1000.0,1.37,-1.26,2.76,0.0,1e-08,0.0,29.221264150605403,1.31740614334471
-140762.60509984236,3.1,38.599999999999994,29.299999999999997,1000.0,1.37,-1.26,2.76,0.0,0.0,1e-08,29.221264150605403,1.31740614334471
