mloglik,tc,mass1,mass2,distance,ra,dec,polarization,inclination,spin1z,spin2z,chirp,q
-124.22929788179363,10.000000000000002,2591.8534538588747,170.51667459597863,10000.0,7.5,-4.0,7.5,4.0,-1.0,-1.0,500.0,15.2
-124.22883064813593,9.99999985,2591.8534538588747,170.51667459597863,10000.0,7.5,-4.0,7.5,4.0,-1.0,-1.0,500.0,15.2
-124.2292993809101,10.000000000000002,2591.853448675168,170.5166742549453,10000.0,7.5,-4.0,7.5,4.0,-1.0,-1.0,499.999999,15.2
-124.22929105046134,10.000000000000002,2591.853468889604,170.51667390211205,10000.0,7.5,-4.0,7.5,4.0,-1.0,-1.0,500.0,15.200000149999997
-124.22929788773945,10.000000000000002,2591.8534538588747,170.51667459597863,9999.9999995,7.5,-4.0,7.5,4.0,-1.0,-1.0,500.0,15.2
-124.229373152985,10.000000000000002,2591.8534538588747,170.51667459597863,10000.0,7.4999997,-4.0,7.5,4.0,-1.0,-1.0,500.0,15.2
-124.22928172049045,10.000000000000002,2591.8534538588747,170.51667459597863,10000.0,7.5,-3.9999997,7.5,4.0,-1.0,-1.0,500.0,15.2
-124.22924507093003,10.000000000000002,2591.8534538588747,170.51667459597863,10000.0,7.5,-4.0,7.4999997,4.0,-1.0,-1.0,500.0,15.2
-124.22931995899334,10.000000000000002,2591.8534538588747,170.51667459597863,10000.0,7.5,-4.0,7.5,3.9999998000000003,-1.0,-1.0,500.0,15.2
-124.22929689661609,10.000000000000002,2591.8534538588747,170.51667459597863,10000.0,7.5,-4.0,7.5,4.0,-0.99999999,-1.0,500.0,15.2
-124.22929862251166,10.000000000000002,2591.8534538588747,170.51667459597863,10000.0,7.5,-4.0,7.5,4.0,-1.0,-0.99999999,500.0,15.2
-10.518541637905084,6.602901073695284,3046.6731244137295,152.33365622068646,10000.0,7.5,-4.0,0.0,0.0,-1.0,-1.0,500.0,20.000000000000004
-10.518373445001581,6.602901223695284,3046.6731244137295,152.33365622068646,10000.0,7.5,-4.0,0.0,0.0,-1.0,-1.0,500.0,20.000000000000004
-10.518541512086726,6.602901073695284,3046.6731183203833,152.33365591601915,10000.0,7.5,-4.0,0.0,0.0,-1.0,-1.0,499.999999,20.000000000000004
-10.518539592113276,6.602901073695284,3046.6731109213197,152.3336566885684,10000.0,7.5,-4.0,0.0,0.0,-1.0,-1.0,500.0,19.999999850000005
-10.518541638380482,6.602901073695284,3046.6731244137295,152.33365622068646,9999.9999995,7.5,-4.0,0.0,0.0,-1.0,-1.0,500.0,20.000000000000004
-10.518546850589853,6.602901073695284,3046.6731244137295,152.33365622068646,10000.0,7.4999997,-4.0,0.0,0.0,-1.0,-1.0,500.0,20.000000000000004
-10.518524916505825,6.602901073695284,3046.6731244137295,152.33365622068646,10000.0,7.5,-3.9999997,0.0,0.0,-1.0,-1.0,500.0,20.000000000000004
-10.518560612565114,6.602901073695284,3046.6731244137295,152.33365622068646,10000.0,7.5,-4.0,3e-07,0.0,-1.0,-1.0,500.0,20.000000000000004
-10.5185416379049,6.602901073695284,3046.6731244137295,152.33365622068646,10000.0,7.5,-4.0,0.0,2e-07,-1.0,-1.0,500.0,20.000000000000004
-10.518542860045454,6.602901073695284,3046.6731244137295,152.33365622068646,10000.0,7.5,-4.0,0.0,0.0,-0.99999999,-1.0,500.0,20.000000000000004
-10.51854081867751,6.602901073695284,3046.6731244137295,152.33365622068646,10000.0,7.5,-4.0,0.0,0.0,-1.0,-0.99999999,500.0,20.000000000000004
4776.353859751752,0.0,1230.8795131319334,218.53647324230258,10000.0,0.0,-4.0,0.0,4.0,-1.0,-0.9851935892129347,422.2844355868408,5.632375661920719
4776.433259534624,1.5e-07,1230.8795131319334,218.53647324230258,10000.0,0.0,-4.0,0.0,4.0,-1.0,-0.9851935892129347,422.2844355868408,5.632375661920719
4776.353987608837,0.0,1230.879516046745,218.5364737598127,10000.0,0.0,-4.0,0.0,4.0,-1.0,-0.9851935892129347,422.2844365868408,5.632375661920719
4776.354504395196,0.0,1230.8795318117175,218.5364707387965,10000.0,0.0,-4.0,0.0,4.0,-1.0,-0.9851935892129347,422.2844355868408,5.632375811920719
